DATE,merissa_dist,merissa_steps,sheridan_dist,sheridan_steps,tova_dist,tova_steps,temp
2019-06-01,4.560388348,10700.1559,3.674948904,8663.69742,0.00815239004215093,18.0,80
2019-06-02,3.315483121,7692.0,2.793205838,6468.595866,2.26295220638085,5378.0,81
2019-06-03,5.4124030770000005,11560.0,0.846567883,1620.272716,1.00177388691425,2258.0,70
2019-06-04,3.72131428,7334.0,0.747558884,1737.6055809999998,2.78593389718438,6427.0,70
2019-06-05,4.87256494,10099.04567,1.117429165,2359.2699820000003,0.9080159369278672,2088.0,81
2019-06-06,0.0037784359999999996,9.594439429,1.815166984,4127.0,1.414535809152,3223.0,83
2019-06-07,0.0037784359999999996,9.594439429,0.8858887870000001,1984.291063,0.6185377395993951,1382.0,81
2019-06-08,0.0037784359999999996,9.594439429,2.8787234,6859.0,0.0,0.0,81
2019-06-09,0.0037784359999999996,9.594439429,1.276267496,3039.946843,0.0,0.0,78
2019-06-10,0.654730649,1468.817106,0.230988097,486.0,0.0832450986240183,200.0,70
2019-06-11,3.8041477460000004,9134.0,3.8954162119999998,9352.961959,0.16128310665694,363.0,77
2019-06-12,3.202090025,6912.900229999999,4.9417083360000005,11193.05478,1.32891107339609,2972.0,74
2019-06-13,2.41584153,5712.0,1.8618329040000001,3710.0,0.141501930250205,283.0,65
2019-06-14,4.786400752,11232.71679,2.116354207,5055.315108,0.7572578372420781,1670.0,73
2019-06-15,1.2716795570000001,2788.0,1.546736048,3664.3231140000003,0.21907323443444,503.0,81
2019-06-16,0.217765842,401.0,3.6141111660000003,8454.260968999999,0.9708194590268968,2238.0,80
2019-06-17,3.997751795,9469.0,1.464629027,3222.7906190000003,1.57069795627638,4065.0,76
2019-06-18,6.915793099999999,16141.0,1.576534774,3766.0,0.16007764654417905,355.0,73
2019-06-19,5.003020654,11925.0,2.488584769,5702.289659,0.11799838940574,272.0,71
2019-06-20,4.094552628,9730.0,1.4237116019999998,3352.256007,0.383230682812448,894.0,78
2019-06-21,3.993186777,9328.619607999999,1.120679883,2628.0,0.18984610826333,415.705251052296,77
2019-06-22,3.4526912960000002,7937.277794,3.4534700210000002,8147.743467,0.116295379827342,258.294748947704,79
2019-06-23,1.633492766,3797.7222060000004,3.103140254,7653.619273,1.9608648553313,4454.0,83
2019-06-24,6.062393941,14336.0,2.5725681259999997,5856.292438,2.74142044004265,6823.0,84
2019-06-25,1.931954274,4611.0,3.578780077,8408.857482,2.5683411457820697,5839.0,84
2019-06-26,3.2143108419999997,7514.0,2.724145783,6258.0,0.4161198600176741,931.0,87
2019-06-27,7.272706384,17085.0,1.624291626,3608.440648,0.5602869250489529,1245.0,89
2019-06-28,2.242530345,5215.375448,2.83783249,6480.369511999999,0.19757739799532606,455.0,89
2019-06-29,2.502651638,5520.6121539999995,0.958971798,1856.249754,0.088576997915458,214.0,91
2019-06-30,5.587419442000001,12962.38785,2.212359712,5072.7502460000005,0.5150077314115371,1199.0,83
2019-07-01,1.909223414,4405.0,1.601188199,3207.291158,3.5263023341193502,8386.0,85
2019-07-02,8.118603214,18673.0,2.170612293,4998.59791,1.16943163337332,2664.0414775100103,85
2019-07-03,7.457854146,17335.0,1.8461018,4248.9049350000005,0.8215020946752449,1864.95852248999,87
2019-07-04,5.979269285,13611.0,1.315857277,2957.2663199999997,1.42311781879662,3330.0,90
2019-07-05,10.106702199999999,23700.13806,1.373588047,2785.0,1.36399260342777,3207.0,86
2019-07-06,9.021506511,20409.86194,0.642373775,1302.0,0.0,0.0,90
2019-07-07,2.355983646,5556.0,1.484436316,3650.428232,2.19646509769047,5305.0,86
2019-07-08,3.77654299,8852.0,1.5238343890000001,3484.571768,3.0355330468268,7365.0,78
2019-07-09,10.14499286,22279.86091,1.424434279,3256.283144,2.57154533786028,5696.707700240961,87
2019-07-10,7.69771384,17879.0,0.769376341,1485.0,3.6213976996208,8131.29229975904,88
2019-07-11,7.788235981000001,18274.0,1.8564088369999998,4500.605732,0.0407557364988265,91.0,87
2019-07-12,5.193096639,12173.44083,3.1775128739999996,7518.102438,0.68918696773061,1690.0,87
2019-07-13,4.650094565,10970.0,3.412522203,7900.2925780000005,0.0202275353161861,48.6102891809593,85
2019-07-14,7.293464291,17393.0,1.677698329,3421.0,1.15734860184214,2696.38971081904,89
2019-07-15,4.065926598,9467.162861,0.705450754,1704.4710129999999,0.923864930495842,2372.0,85
2019-07-16,2.249060351,4925.664052,1.017999742,2268.0,1.1221216385288502,2546.0,91
2019-07-17,2.4037219380000003,5659.0,0.513476354,1134.0,0.536821214109776,1258.0,93
2019-07-18,2.307650335,5163.412391,1.718176715,3593.2453219999998,0.0880545116518571,204.0,79
2019-07-19,3.6789543310000004,8730.0,3.7268461860000004,8907.985826,0.382361884211514,884.0,91
2019-07-20,6.56126248,15755.61618,1.560642881,2956.0,0.0407159261643757,96.0,95
2019-07-21,2.148769396,5087.413817000001,4.473725905,10747.123309999999,0.182937892706252,427.0,95
2019-07-22,3.233406502,7573.0,1.444865425,3399.2533340000005,0.683533935908975,1515.0,90
2019-07-23,7.467869651,17647.0,0.76899817,1431.0,2.25640385150486,5438.0,74
2019-07-24,7.512720886,18249.59045,1.779351285,4088.215935,0.9126183888333,2189.0,83
2019-07-25,5.706265956,13368.0,1.982998466,4686.0,0.450226924759084,1076.0,84
2019-07-26,0.7114228690000001,1385.0,1.166443099,2559.0,0.438955251331528,1011.0,88
2019-07-27,6.102284224,14697.0,1.455027737,3455.0,0.0062447804819418,14.0,85
